AST Analysis Report for babel
Generated on: 2025-07-14T01:56:13.511Z
Repository: sample-repos/babel
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/babel

📁 Found 1424 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1424
   Successfully parsed: 1424
   Failed to parse: 0
   Total file size: 5.7 MB

🌳 NODE STATISTICS:
   Total nodes: 772,687
   Average nodes per file: 543
   Average file size: 4.1 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        1424 files (100.0%) -    1,424 total (0.18%)
   Identifier                     1404 files ( 98.6%) -  285,167 total (36.91%)
   Literal                        1295 files ( 90.9%) -   56,270 total (7.28%)
   CallExpression                 1181 files ( 82.9%) -   48,607 total (6.29%)
   ExpressionStatement            1144 files ( 80.3%) -   23,559 total (3.05%)
   MemberExpression               1134 files ( 79.6%) -   61,884 total (8.01%)
   BlockStatement                 1052 files ( 73.9%) -   21,697 total (2.81%)
   ImportDeclaration              1015 files ( 71.3%) -    3,462 total (0.45%)
   VariableDeclaration             862 files ( 60.5%) -   13,104 total (1.70%)
   VariableDeclarator              862 files ( 60.5%) -   15,559 total (2.01%)
   ReturnStatement                 848 files ( 59.6%) -    8,728 total (1.13%)
   FunctionDeclaration             783 files ( 55.0%) -    3,757 total (0.49%)
   BinaryExpression                713 files ( 50.1%) -   10,453 total (1.35%)
   ObjectExpression                701 files ( 49.2%) -    8,160 total (1.06%)
   Property                        699 files ( 49.1%) -   21,965 total (2.84%)
   ImportDefaultSpecifier          698 files ( 49.0%) -    1,637 total (0.21%)
   IfStatement                     673 files ( 47.3%) -    9,785 total (1.27%)
   AssignmentExpression            653 files ( 45.9%) -    7,757 total (1.00%)
   ImportSpecifier                 643 files ( 45.2%) -    2,965 total (0.38%)
   UnaryExpression                 622 files ( 43.7%) -    5,889 total (0.76%)
   LogicalExpression               577 files ( 40.5%) -    6,597 total (0.85%)
   ArrowFunctionExpression         542 files ( 38.1%) -    4,621 total (0.60%)
   TSTypeAnnotation                538 files ( 37.8%) -   19,956 total (2.58%)
   ArrayExpression                 519 files ( 36.4%) -    5,671 total (0.73%)
   NewExpression                   506 files ( 35.5%) -    1,816 total (0.24%)
   TSTypeReference                 494 files ( 34.7%) -   27,385 total (3.54%)
   FunctionExpression              479 files ( 33.6%) -    4,513 total (0.58%)
   ExportDefaultDeclaration        477 files ( 33.5%) -      496 total (0.06%)
   ExportNamedDeclaration          435 files ( 30.5%) -    3,187 total (0.41%)
   ParenthesizedExpression         415 files ( 29.1%) -    2,859 total (0.37%)
   Unknown                         410 files ( 28.8%) -    5,590 total (0.72%)
   ConditionalExpression           386 files ( 27.1%) -    2,159 total (0.28%)
   TemplateElement                 364 files ( 25.6%) -    4,698 total (0.61%)
   TemplateLiteral                 361 files ( 25.4%) -    2,691 total (0.35%)
   ObjectPattern                   339 files ( 23.8%) -    1,590 total (0.21%)
   TSTypeParameterInstantiation    323 files ( 22.7%) -    4,910 total (0.64%)
   TSUnionType                     308 files ( 21.6%) -    3,960 total (0.51%)
   ThrowStatement                  303 files ( 21.3%) -    1,127 total (0.15%)
   TSStringKeyword                 292 files ( 20.5%) -    1,772 total (0.23%)
   TSQualifiedName                 274 files ( 19.2%) -    8,474 total (1.10%)
   ImportNamespaceSpecifier        246 files ( 17.3%) -      306 total (0.04%)
   TSAsExpression                  229 files ( 16.1%) -    1,084 total (0.14%)
   TSBooleanKeyword                225 files ( 15.8%) -    1,573 total (0.20%)
   ForOfStatement                  223 files ( 15.7%) -      619 total (0.08%)
   MetaProperty                    220 files ( 15.4%) -      252 total (0.03%)
   TSPropertySignature             220 files ( 15.4%) -    4,147 total (0.54%)
   TSArrayType                     205 files ( 14.4%) -      774 total (0.10%)
   ExportSpecifier                 200 files ( 14.0%) -      901 total (0.12%)
   TSTypeLiteral                   200 files ( 14.0%) -      569 total (0.07%)
   TSLiteralType                   189 files ( 13.3%) -    1,992 total (0.26%)
   TSAnyKeyword                    183 files ( 12.9%) -      644 total (0.08%)
   UpdateExpression                181 files ( 12.7%) -      588 total (0.08%)
   ThisExpression                  178 files ( 12.5%) -    9,447 total (1.22%)
   SpreadElement                   175 files ( 12.3%) -      626 total (0.08%)
   TSTypeAliasDeclaration          169 files ( 11.9%) -      544 total (0.07%)
   ForStatement                    161 files ( 11.3%) -      422 total (0.05%)
   TSTypeParameterDeclaration      156 files ( 11.0%) -      378 total (0.05%)
   TSTypeParameter                 156 files ( 11.0%) -      488 total (0.06%)
   TSNullKeyword                   141 files (  9.9%) -    2,242 total (0.29%)
   AssignmentPattern               135 files (  9.5%) -      573 total (0.07%)
   ChainExpression                 126 files (  8.8%) -      360 total (0.05%)
   TSNumberKeyword                 126 files (  8.8%) -      555 total (0.07%)
