AST Analysis Report for ember.js
Generated on: 2025-07-14T02:07:19.851Z
Repository: sample-repos/ember.js
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/ember.js

📁 Found 1077 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 1077
   Successfully parsed: 1077
   Failed to parse: 0
   Total file size: 4.5 MB

🌳 NODE STATISTICS:
   Total nodes: 514,961
   Average nodes per file: 478
   Average file size: 4.3 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          1077 files (100.0%) -         1,077 total ( 0.21%)
   Identifier                       1036 files ( 96.2%) -       161,756 total (31.41%)
   Literal                          1035 files ( 96.1%) -        57,568 total (11.18%)
   CallExpression                    925 files ( 85.9%) -        47,196 total ( 9.16%)
   MemberExpression                  922 files ( 85.6%) -        45,509 total ( 8.84%)
   ExpressionStatement               892 files ( 82.8%) -        31,046 total ( 6.03%)
   ImportDeclaration                 838 files ( 77.8%) -         3,671 total ( 0.71%)
   BlockStatement                    812 files ( 75.4%) -        14,437 total ( 2.80%)
   ImportSpecifier                   790 files ( 73.4%) -         4,428 total ( 0.86%)
   VariableDeclaration               789 files ( 73.3%) -         7,776 total ( 1.51%)
   VariableDeclarator                789 files ( 73.3%) -         7,948 total ( 1.54%)
   FunctionExpression                658 files ( 61.1%) -         8,548 total ( 1.66%)
   ObjectExpression                  615 files ( 57.1%) -         7,722 total ( 1.50%)
   Property                          594 files ( 55.2%) -        13,200 total ( 2.56%)
   ReturnStatement                   593 files ( 55.1%) -         4,280 total ( 0.83%)
   ClassBody                         553 files ( 51.3%) -         2,492 total ( 0.48%)
   MethodDefinition                  479 files ( 44.5%) -         5,853 total ( 1.14%)
   AssignmentExpression              462 files ( 42.9%) -         3,387 total ( 0.66%)
   ThisExpression                    457 files ( 42.4%) -        17,449 total ( 3.39%)
   ArrowFunctionExpression           448 files ( 41.6%) -         4,265 total ( 0.83%)
   ImportDefaultSpecifier            428 files ( 39.7%) -           853 total ( 0.17%)
   TSTypeAnnotation                  419 files ( 38.9%) -         7,518 total ( 1.46%)
   TSTypeReference                   406 files ( 37.7%) -         5,304 total ( 1.03%)
   BinaryExpression                  396 files ( 36.8%) -         2,796 total ( 0.54%)
   ArrayExpression                   391 files ( 36.3%) -         3,495 total ( 0.68%)
   IfStatement                       384 files ( 35.7%) -         2,037 total ( 0.40%)
   Unknown                           380 files ( 35.3%) -         4,588 total ( 0.89%)
   ClassDeclaration                  329 files ( 30.5%) -           761 total ( 0.15%)
   TemplateElement                   327 files ( 30.4%) -         3,770 total ( 0.73%)
   TemplateLiteral                   326 files ( 30.3%) -         2,425 total ( 0.47%)
