AST Analysis Report for jotai
Generated on: 2025-07-14T02:34:32.776Z
Repository: sample-repos/jotai
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/jotai

📁 Found 172 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 172
   Successfully parsed: 172
   Failed to parse: 0
   Total file size: 594.8 KB

🌳 NODE STATISTICS:
   Total nodes: 86,914
   Average nodes per file: 505
   Average file size: 3.5 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                           172 files (100.0%) -           172 total ( 0.20%)
   Literal                           126 files ( 73.3%) -         4,810 total ( 5.53%)
   Identifier                        124 files ( 72.1%) -        27,986 total (32.20%)
   CallExpression                    114 files ( 66.3%) -         9,310 total (10.71%)
   ImportDeclaration                 112 files ( 65.1%) -           456 total ( 0.52%)
   ImportSpecifier                   106 files ( 61.6%) -           714 total ( 0.82%)
   VariableDeclaration               103 files ( 59.9%) -         2,686 total ( 3.09%)
   VariableDeclarator                103 files ( 59.9%) -         2,686 total ( 3.09%)
   MemberExpression                  101 files ( 58.7%) -         4,971 total ( 5.72%)
   BlockStatement                     98 files ( 57.0%) -         2,149 total ( 2.47%)
   ExpressionStatement                95 files ( 55.2%) -         3,975 total ( 4.57%)
   ArrowFunctionExpression            87 files ( 50.6%) -         2,683 total ( 3.09%)
   ReturnStatement                    85 files ( 49.4%) -           770 total ( 0.89%)
   TSTypeAnnotation                   82 files ( 47.7%) -         1,502 total ( 1.73%)
   Property                           78 files ( 45.3%) -         1,040 total ( 1.20%)
   ObjectExpression                   74 files ( 43.0%) -           459 total ( 0.53%)
   BinaryExpression                   70 files ( 40.7%) -           524 total ( 0.60%)
   ArrayExpression                    65 files ( 37.8%) -           314 total ( 0.36%)
   TSTypeParameterInstantiation       65 files ( 37.8%) -           705 total ( 0.81%)
   TSTypeReference                    65 files ( 37.8%) -         1,493 total ( 1.72%)
   AssignmentExpression               60 files ( 34.9%) -           305 total ( 0.35%)
   ParenthesizedExpression            58 files ( 33.7%) -           418 total ( 0.48%)
   IfStatement                        55 files ( 32.0%) -           276 total ( 0.32%)
   ImportDefaultSpecifier             54 files ( 31.4%) -            76 total ( 0.09%)
   UnaryExpression                    51 files ( 29.7%) -           174 total ( 0.20%)
   NewExpression                      48 files ( 27.9%) -           275 total ( 0.32%)
   FunctionDeclaration                45 files ( 26.2%) -            76 total ( 0.09%)
   TSFunctionType                     45 files ( 26.2%) -           244 total ( 0.28%)
   TSVoidKeyword                      45 files ( 26.2%) -           258 total ( 0.30%)
   ArrayPattern                       45 files ( 26.2%) -           338 total ( 0.39%)
   TSUnionType                        43 files ( 25.0%) -           164 total ( 0.19%)
   JSXElement                         40 files ( 23.3%) -         1,198 total ( 1.38%)
   JSXOpeningElement                  40 files ( 23.3%) -         1,198 total ( 1.38%)
   JSXIdentifier                      40 files ( 23.3%) -         2,512 total ( 2.89%)
   TSPropertySignature                39 files ( 22.7%) -           242 total ( 0.28%)
   TSAsExpression                     39 files ( 22.7%) -           151 total ( 0.17%)
   AwaitExpression                    39 files ( 22.7%) -         1,153 total ( 1.33%)
   TSTypeLiteral                      38 files ( 22.1%) -           133 total ( 0.15%)
   ExportNamedDeclaration             37 files ( 21.5%) -           167 total ( 0.19%)
   TSNumberKeyword                    37 files ( 21.5%) -           243 total ( 0.28%)
   JSXText                            37 files ( 21.5%) -         2,005 total ( 2.31%)
   JSXClosingElement                  37 files ( 21.5%) -           830 total ( 0.95%)
   TSArrayType                        37 files ( 21.5%) -           137 total ( 0.16%)
   LogicalExpression                  36 files ( 20.9%) -           128 total ( 0.15%)
   JSXAttribute                       35 files ( 20.3%) -           474 total ( 0.55%)
   JSXExpressionContainer             34 files ( 19.8%) -           696 total ( 0.80%)
   ChainExpression                    33 files ( 19.2%) -           100 total ( 0.12%)
   TSTypeAliasDeclaration             33 files ( 19.2%) -           144 total ( 0.17%)
   JSXFragment                        32 files ( 18.6%) -           243 total ( 0.28%)
   JSXOpeningFragment                 32 files ( 18.6%) -           243 total ( 0.28%)
   JSXClosingFragment                 32 files ( 18.6%) -           243 total ( 0.28%)
   ObjectPattern                      31 files ( 18.0%) -            83 total ( 0.10%)
   TSUnknownKeyword                   31 files ( 18.0%) -           143 total ( 0.16%)
   SpreadElement                      30 files ( 17.4%) -            73 total ( 0.08%)
   ConditionalExpression              30 files ( 17.4%) -            64 total ( 0.07%)
   TSStringKeyword                    29 files ( 16.9%) -           150 total ( 0.17%)
   TSTypeQuery                        29 files ( 16.9%) -            97 total ( 0.11%)
   TSTypeParameterDeclaration         27 files ( 15.7%) -           148 total ( 0.17%)
   TSTypeParameter                    27 files ( 15.7%) -           230 total ( 0.26%)
   TSLiteralType                      27 files ( 15.7%) -            69 total ( 0.08%)
   TSTupleType                        26 files ( 15.1%) -            69 total ( 0.08%)
   ExportDefaultDeclaration           24 files ( 14.0%) -            24 total ( 0.03%)
   ThrowStatement                     23 files ( 13.4%) -            63 total ( 0.07%)
   TemplateLiteral                    22 files ( 12.8%) -           204 total ( 0.23%)
   TemplateElement                    22 files ( 12.8%) -           268 total ( 0.31%)
   TSUndefinedKeyword                 21 files ( 12.2%) -            69 total ( 0.08%)
   TSParenthesizedType                20 files ( 11.6%) -            51 total ( 0.06%)
   TSBooleanKeyword                   19 files ( 11.0%) -            44 total ( 0.05%)
   UpdateExpression                   18 files ( 10.5%) -            50 total ( 0.06%)
   TSNeverKeyword                     18 files ( 10.5%) -            33 total ( 0.04%)
   TSAnyKeyword                       18 files ( 10.5%) -            32 total ( 0.04%)
   TSNonNullExpression                17 files (  9.9%) -            43 total ( 0.05%)
   TSIndexedAccessType                16 files (  9.3%) -            36 total ( 0.04%)
   TSDeclareFunction                  15 files (  8.7%) -            42 total ( 0.05%)
   MetaProperty                       14 files (  8.1%) -            24 total ( 0.03%)
   FunctionExpression                 13 files (  7.6%) -            38 total ( 0.04%)
   TSNullKeyword                      13 files (  7.6%) -            25 total ( 0.03%)
   RestElement                        13 files (  7.6%) -            36 total ( 0.04%)
   TryStatement                       12 files (  7.0%) -            39 total ( 0.04%)
   TSIntersectionType                 12 files (  7.0%) -            22 total ( 0.03%)
   CatchClause                         9 files (  5.2%) -            27 total ( 0.03%)
   AssignmentPattern                   8 files (  4.7%) -            20 total ( 0.02%)
   TSTypeOperator                      8 files (  4.7%) -            17 total ( 0.02%)
   TSTypePredicate                     8 files (  4.7%) -            14 total ( 0.02%)
   TSObjectKeyword                     7 files (  4.1%) -            27 total ( 0.03%)
   ThisExpression                      6 files (  3.5%) -            28 total ( 0.03%)
   ForOfStatement                      6 files (  3.5%) -            18 total ( 0.02%)
   ExportSpecifier                     5 files (  2.9%) -            41 total ( 0.05%)
   TSInterfaceDeclaration              5 files (  2.9%) -             9 total ( 0.01%)
   TSInterfaceBody                     5 files (  2.9%) -             9 total ( 0.01%)
   ForStatement                        4 files (  2.3%) -             4 total ( 0.00%)
   TSMethodSignature                   4 files (  2.3%) -            30 total ( 0.03%)
   TSQualifiedName                     4 files (  2.3%) -             8 total ( 0.01%)
   SwitchStatement                     4 files (  2.3%) -             6 total ( 0.01%)
   SwitchCase                          4 files (  2.3%) -            16 total ( 0.02%)
   Hashbang                            3 files (  1.7%) -             3 total ( 0.00%)
   ClassDeclaration                    3 files (  1.7%) -             4 total ( 0.00%)
   ClassBody                           3 files (  1.7%) -             4 total ( 0.00%)
   MethodDefinition                    3 files (  1.7%) -            11 total ( 0.01%)
   Super                               3 files (  1.7%) -             3 total ( 0.00%)
   TSConditionalType                   3 files (  1.7%) -             6 total ( 0.01%)
   TSInferType                         3 files (  1.7%) -             9 total ( 0.01%)
   EmptyStatement                      3 files (  1.7%) -             7 total ( 0.01%)
   TSCallSignatureDeclaration          3 files (  1.7%) -             5 total ( 0.01%)
   BreakStatement                      3 files (  1.7%) -             6 total ( 0.01%)
   JSXMemberExpression                 3 files (  1.7%) -            10 total ( 0.01%)
   ExportAllDeclaration                2 files (  1.2%) -             4 total ( 0.00%)
   ImportNamespaceSpecifier            2 files (  1.2%) -             2 total ( 0.00%)
   DoWhileStatement                    2 files (  1.2%) -             2 total ( 0.00%)
   TSMappedType                        2 files (  1.2%) -             2 total ( 0.00%)
