AST Analysis Report for prettier
Generated on: 2025-07-14T02:07:53.444Z
Repository: sample-repos/prettier
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/prettier

📁 Found 5046 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 5046
   Successfully parsed: 5045
   Failed to parse: 1
   Total file size: 3.0 MB

🌳 NODE STATISTICS:
   Total nodes: 297,480
   Average nodes per file: 59
   Average file size: 632.0 B

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                          5045 files (100.0%) -         5,045 total ( 1.70%)
   Identifier                       3513 files ( 69.6%) -       103,850 total (34.91%)
   Literal                          2960 files ( 58.7%) -        29,562 total ( 9.94%)
   ExpressionStatement              2564 files ( 50.8%) -         9,225 total ( 3.10%)
   CallExpression                   2469 files ( 48.9%) -        17,086 total ( 5.74%)
   ArrayExpression                  1850 files ( 36.7%) -         5,345 total ( 1.80%)
   MetaProperty                     1348 files ( 26.7%) -         1,676 total ( 0.56%)
   MemberExpression                 1178 files ( 23.3%) -        19,836 total ( 6.67%)
   VariableDeclaration              1145 files ( 22.7%) -         6,273 total ( 2.11%)
   VariableDeclarator               1145 files ( 22.7%) -         6,303 total ( 2.12%)
   Property                         1138 files ( 22.6%) -         9,511 total ( 3.20%)
   ObjectExpression                 1082 files ( 21.4%) -         4,115 total ( 1.38%)
   BlockStatement                   1078 files ( 21.4%) -         7,463 total ( 2.51%)
   ArrowFunctionExpression           632 files ( 12.5%) -         2,990 total ( 1.01%)
   FunctionDeclaration               604 files ( 12.0%) -         1,793 total ( 0.60%)
   ReturnStatement                   586 files ( 11.6%) -         3,635 total ( 1.22%)
   AssignmentExpression              548 files ( 10.9%) -         1,984 total ( 0.67%)
   BinaryExpression                  535 files ( 10.6%) -         5,468 total ( 1.84%)
   ImportDeclaration                 533 files ( 10.6%) -         1,759 total ( 0.59%)
   ParenthesizedExpression           471 files (  9.3%) -         2,722 total ( 0.92%)
   Unknown                           405 files (  8.0%) -         3,024 total ( 1.02%)
   ImportDefaultSpecifier            373 files (  7.4%) -           855 total ( 0.29%)
   IfStatement                       368 files (  7.3%) -         2,639 total ( 0.89%)
   ClassBody                         359 files (  7.1%) -           770 total ( 0.26%)
   LogicalExpression                 356 files (  7.1%) -         3,822 total ( 1.28%)
   ObjectPattern                     347 files (  6.9%) -         1,030 total ( 0.35%)
   ExportDefaultDeclaration          336 files (  6.7%) -           339 total ( 0.11%)
   ImportSpecifier                   335 files (  6.6%) -         1,893 total ( 0.64%)
   ExportNamedDeclaration            334 files (  6.6%) -           744 total ( 0.25%)
   ClassDeclaration                  332 files (  6.6%) -           678 total ( 0.23%)
   TSTypeAnnotation                  325 files (  6.4%) -         2,847 total ( 0.96%)
   UnaryExpression                   324 files (  6.4%) -         1,754 total ( 0.59%)
   TemplateElement                   324 files (  6.4%) -         2,356 total ( 0.79%)
   TemplateLiteral                   321 files (  6.4%) -         1,187 total ( 0.40%)
   NewExpression                     312 files (  6.2%) -           828 total ( 0.28%)
   FunctionExpression                310 files (  6.1%) -           955 total ( 0.32%)
   ConditionalExpression             282 files (  5.6%) -         1,274 total ( 0.43%)
   TSTypeReference                   262 files (  5.2%) -         2,805 total ( 0.94%)
   SpreadElement                     196 files (  3.9%) -           537 total ( 0.18%)
   AwaitExpression                   184 files (  3.6%) -           766 total ( 0.26%)
   TSStringKeyword                   183 files (  3.6%) -           691 total ( 0.23%)
   MethodDefinition                  177 files (  3.5%) -           642 total ( 0.22%)
   ExportSpecifier                   171 files (  3.4%) -           710 total ( 0.24%)
   PropertyDefinition                144 files (  2.9%) -           374 total ( 0.13%)
   ChainExpression                   141 files (  2.8%) -           812 total ( 0.27%)
   TSNumberKeyword                   138 files (  2.7%) -           597 total ( 0.20%)
   TSTypeParameterInstantiation      126 files (  2.5%) -           643 total ( 0.22%)
   ForOfStatement                    124 files (  2.5%) -           254 total ( 0.09%)
   ThrowStatement                    123 files (  2.4%) -           208 total ( 0.07%)
   TaggedTemplateExpression          120 files (  2.4%) -           483 total ( 0.16%)
   TSTypeAliasDeclaration            112 files (  2.2%) -           482 total ( 0.16%)
   ThisExpression                    112 files (  2.2%) -           643 total ( 0.22%)
   ArrayPattern                      110 files (  2.2%) -           170 total ( 0.06%)
   AssignmentPattern                 102 files (  2.0%) -           251 total ( 0.08%)
   TSTypeParameterDeclaration         94 files (  1.9%) -           328 total ( 0.11%)
   TSTypeParameter                    92 files (  1.8%) -           482 total ( 0.16%)
   TSTypeLiteral                      90 files (  1.8%) -           306 total ( 0.10%)
   TSAnyKeyword                       90 files (  1.8%) -           250 total ( 0.08%)
   TSPropertySignature                83 files (  1.6%) -           647 total ( 0.22%)
   UpdateExpression                   82 files (  1.6%) -           183 total ( 0.06%)
   TSInterfaceDeclaration             72 files (  1.4%) -           210 total ( 0.07%)
   TSInterfaceBody                    72 files (  1.4%) -           210 total ( 0.07%)
   TryStatement                       71 files (  1.4%) -           111 total ( 0.04%)
   TSUnionType                        68 files (  1.3%) -           472 total ( 0.16%)
   SwitchStatement                    68 files (  1.3%) -           132 total ( 0.04%)
   SwitchCase                         68 files (  1.3%) -         1,229 total ( 0.41%)
   ForStatement                       68 files (  1.3%) -           149 total ( 0.05%)
   CatchClause                        67 files (  1.3%) -           104 total ( 0.03%)
   TSArrayType                        66 files (  1.3%) -           170 total ( 0.06%)
   TSLiteralType                      59 files (  1.2%) -           408 total ( 0.14%)
   Decorator                          57 files (  1.1%) -           226 total ( 0.08%)
   ExportAllDeclaration               50 files (  1.0%) -            64 total ( 0.02%)
   TSVoidKeyword                      50 files (  1.0%) -           133 total ( 0.04%)
   RestElement                        49 files (  1.0%) -           100 total ( 0.03%)
   TSFunctionType                     46 files (  0.9%) -           161 total ( 0.05%)
   TSBooleanKeyword                   45 files (  0.9%) -           160 total ( 0.05%)
   TSQualifiedName                    45 files (  0.9%) -           228 total ( 0.08%)
   ImportExpression                   45 files (  0.9%) -            82 total ( 0.03%)
   ImportNamespaceSpecifier           44 files (  0.9%) -            76 total ( 0.03%)
   ContinueStatement                  44 files (  0.9%) -           163 total ( 0.05%)
   EmptyStatement                     44 files (  0.9%) -           155 total ( 0.05%)
   BreakStatement                     42 files (  0.8%) -           193 total ( 0.06%)
   ClassExpression                    41 files (  0.8%) -            92 total ( 0.03%)
   TSModuleDeclaration                40 files (  0.8%) -           126 total ( 0.04%)
   TSAsExpression                     40 files (  0.8%) -           127 total ( 0.04%)
   TSModuleBlock                      39 files (  0.8%) -           125 total ( 0.04%)
   TSParenthesizedType                37 files (  0.7%) -           302 total ( 0.10%)
   TSEmptyBodyFunctionExpression      37 files (  0.7%) -           136 total ( 0.05%)
   TSTupleType                        36 files (  0.7%) -            91 total ( 0.03%)
   PrivateIdentifier                  31 files (  0.6%) -           166 total ( 0.06%)
   TSIntersectionType                 29 files (  0.6%) -           178 total ( 0.06%)
   WhileStatement                     29 files (  0.6%) -            52 total ( 0.02%)
   YieldExpression                    28 files (  0.6%) -            77 total ( 0.03%)
   SequenceExpression                 27 files (  0.5%) -            48 total ( 0.02%)
   TSTypeOperator                     26 files (  0.5%) -            67 total ( 0.02%)
   TSMethodSignature                  26 files (  0.5%) -            64 total ( 0.02%)
   Hashbang                           26 files (  0.5%) -            26 total ( 0.01%)
   JSXElement                         26 files (  0.5%) -           289 total ( 0.10%)
   JSXOpeningElement                  26 files (  0.5%) -           289 total ( 0.10%)
   JSXIdentifier                      26 files (  0.5%) -           851 total ( 0.29%)
   TSDeclareFunction                  25 files (  0.5%) -           104 total ( 0.03%)
   ImportAttribute                    24 files (  0.5%) -            52 total ( 0.02%)
   TSParameterProperty                24 files (  0.5%) -            60 total ( 0.02%)
   TSTypeQuery                        23 files (  0.5%) -            76 total ( 0.03%)
   TSUnknownKeyword                   22 files (  0.4%) -            56 total ( 0.02%)
   Super                              22 files (  0.4%) -            37 total ( 0.01%)
   TSAbstractMethodDefinition         22 files (  0.4%) -            60 total ( 0.02%)
   ForInStatement                     20 files (  0.4%) -            64 total ( 0.02%)
   JSXText                            19 files (  0.4%) -           423 total ( 0.14%)
   JSXExpressionContainer             19 files (  0.4%) -           304 total ( 0.10%)
   TSIndexedAccessType                18 files (  0.4%) -            65 total ( 0.02%)
   TSMappedType                       18 files (  0.4%) -            76 total ( 0.03%)
   JSXAttribute                       18 files (  0.4%) -           347 total ( 0.12%)
   JSXClosingElement                  18 files (  0.4%) -           212 total ( 0.07%)
   TSConditionalType                  17 files (  0.3%) -           118 total ( 0.04%)
   TSTypeAssertion                    17 files (  0.3%) -            83 total ( 0.03%)
   TSSatisfiesExpression              17 files (  0.3%) -            93 total ( 0.03%)
   TSNonNullExpression                17 files (  0.3%) -           285 total ( 0.10%)
   TSNeverKeyword                     16 files (  0.3%) -            62 total ( 0.02%)
   TSUndefinedKeyword                 16 files (  0.3%) -           121 total ( 0.04%)
   AccessorProperty                   16 files (  0.3%) -            32 total ( 0.01%)
   TSInterfaceHeritage                14 files (  0.3%) -            81 total ( 0.03%)
   TSIndexSignature                   14 files (  0.3%) -            28 total ( 0.01%)
   TSConstructorType                  14 files (  0.3%) -            21 total ( 0.01%)
   TSCallSignatureDeclaration         13 files (  0.3%) -            60 total ( 0.02%)
   TSConstructSignatureDeclaration     12 files (  0.2%) -            53 total ( 0.02%)
