AST Analysis Report for rollup
Generated on: 2025-07-14T01:42:30.122Z
Repository: sample-repos/rollup
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/rollup

📁 Found 12147 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 12147
   Successfully parsed: 12147
   Failed to parse: 0
   Total file size: 9.2 MB

🌳 NODE STATISTICS:
   Total nodes: 1,241,523
   Average nodes per file: 102
   Average file size: 791.0 B

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                        12147 files (100.0%) -   12,147 total (0.98%)
   Literal                        11765 files ( 96.9%) -  103,007 total (8.30%)
   Identifier                     11627 files ( 95.7%) -  419,254 total (33.77%)
   ExpressionStatement            9837 files ( 81.0%) -   73,764 total (5.94%)
   MemberExpression               9589 files ( 78.9%) -  131,719 total (10.61%)
   CallExpression                 9499 files ( 78.2%) -   72,356 total (5.83%)
   BlockStatement                 5843 files ( 48.1%) -   37,730 total (3.04%)
   VariableDeclaration            5774 files ( 47.5%) -   26,736 total (2.15%)
   VariableDeclarator             5774 files ( 47.5%) -   29,024 total (2.34%)
   ObjectExpression               5032 files ( 41.4%) -   15,961 total (1.29%)
   AssignmentExpression           4990 files ( 41.1%) -   28,898 total (2.33%)
   Property                       4951 files ( 40.8%) -   34,211 total (2.76%)
   FunctionExpression             4458 files ( 36.7%) -   13,182 total (1.06%)
   ArrayExpression                3564 files ( 29.3%) -    7,631 total (0.61%)
   ParenthesizedExpression        3289 files ( 27.1%) -   16,458 total (1.33%)
   ReturnStatement                3213 files ( 26.5%) -   11,816 total (0.95%)
   ExportNamedDeclaration         2237 files ( 18.4%) -    3,619 total (0.29%)
   ImportDeclaration              2151 files ( 17.7%) -    5,350 total (0.43%)
   FunctionDeclaration            1907 files ( 15.7%) -    4,003 total (0.32%)
   BinaryExpression               1540 files ( 12.7%) -   22,887 total (1.84%)
   ImportSpecifier                1284 files ( 10.6%) -    4,326 total (0.35%)
   IfStatement                    1175 files (  9.7%) -    9,365 total (0.75%)
   ArrowFunctionExpression        1171 files (  9.6%) -    3,551 total (0.29%)
   ExportSpecifier                1096 files (  9.0%) -    1,926 total (0.16%)
   UnaryExpression                 966 files (  8.0%) -    6,074 total (0.49%)
   ExportDefaultDeclaration        943 files (  7.8%) -      945 total (0.08%)
   LogicalExpression               889 files (  7.3%) -    8,377 total (0.67%)
   ConditionalExpression           871 files (  7.2%) -    2,756 total (0.22%)
   NewExpression                   828 files (  6.8%) -    3,993 total (0.32%)
   ThisExpression                  712 files (  5.9%) -   46,646 total (3.76%)
   ImportDefaultSpecifier          704 files (  5.8%) -    1,502 total (0.12%)
   ObjectPattern                   584 files (  4.8%) -    1,462 total (0.12%)
   Unknown                         576 files (  4.7%) -    4,647 total (0.37%)
   ClassBody                       522 files (  4.3%) -      759 total (0.06%)
   TemplateLiteral                 506 files (  4.2%) -    1,624 total (0.13%)
   TemplateElement                 506 files (  4.2%) -    3,975 total (0.32%)
   ClassDeclaration                490 files (  4.0%) -      672 total (0.05%)
   ImportExpression                414 files (  3.4%) -      773 total (0.06%)
   MethodDefinition                401 files (  3.3%) -    2,278 total (0.18%)
   ImportNamespaceSpecifier        340 files (  2.8%) -      428 total (0.03%)
   TSTypeAnnotation                318 files (  2.6%) -    7,190 total (0.58%)
   TSTypeReference                 293 files (  2.4%) -    5,578 total (0.45%)
   ThrowStatement                  286 files (  2.4%) -    1,823 total (0.15%)
   SequenceExpression              244 files (  2.0%) -      430 total (0.03%)
   UpdateExpression                233 files (  1.9%) -      744 total (0.06%)
   AwaitExpression                 191 files (  1.6%) -      721 total (0.06%)
   ForOfStatement                  188 files (  1.5%) -      625 total (0.05%)
   TSStringKeyword                 185 files (  1.5%) -    1,680 total (0.14%)
   PropertyDefinition              182 files (  1.5%) -      752 total (0.06%)
   ExportAllDeclaration            177 files (  1.5%) -      247 total (0.02%)
   TSUnionType                     171 files (  1.4%) -      846 total (0.07%)
