AST Analysis Report for solid
Generated on: 2025-07-14T02:35:10.139Z
Repository: sample-repos/solid
================================================================================

🔍 Analyzing JavaScript/TypeScript files in: /Users/camchenry/workspace/ast-analysis/sample-repos/solid

📁 Found 107 files to analyze...



============================================================
📊 AST ANALYSIS RESULTS
============================================================

📁 FILE STATISTICS:
   Total files found: 107
   Successfully parsed: 107
   Failed to parse: 0
   Total file size: 602.6 KB

🌳 NODE STATISTICS:
   Total nodes: 101,917
   Average nodes per file: 952
   Average file size: 5.6 KB

📋 ALL NODE TYPES (BY FILE PRESENCE):
   Program                           107 files (100.0%) -           107 total ( 0.10%)
   Literal                            93 files ( 86.9%) -         6,519 total ( 6.40%)
   Identifier                         89 files ( 83.2%) -        36,048 total (35.37%)
   CallExpression                     83 files ( 77.6%) -         7,818 total ( 7.67%)
   VariableDeclaration                77 files ( 72.0%) -         2,102 total ( 2.06%)
   VariableDeclarator                 77 files ( 72.0%) -         2,573 total ( 2.52%)
   MemberExpression                   76 files ( 71.0%) -         6,489 total ( 6.37%)
   BlockStatement                     71 files ( 66.4%) -         2,994 total ( 2.94%)
   ExpressionStatement                71 files ( 66.4%) -         5,601 total ( 5.50%)
   Property                           71 files ( 66.4%) -         1,644 total ( 1.61%)
   ObjectExpression                   69 files ( 64.5%) -           861 total ( 0.84%)
   ArrowFunctionExpression            63 files ( 58.9%) -         1,968 total ( 1.93%)
   AssignmentExpression               62 files ( 57.9%) -         1,691 total ( 1.66%)
   ImportDeclaration                  62 files ( 57.9%) -           167 total ( 0.16%)
   ImportSpecifier                    57 files ( 53.3%) -           481 total ( 0.47%)
   ArrayExpression                    54 files ( 50.5%) -           744 total ( 0.73%)
   ReturnStatement                    54 files ( 50.5%) -           868 total ( 0.85%)
   TSTypeAnnotation                   52 files ( 48.6%) -         2,658 total ( 2.61%)
   ParenthesizedExpression            52 files ( 48.6%) -           480 total ( 0.47%)
   TSTypeReference                    51 files ( 47.7%) -         3,036 total ( 2.98%)
   FunctionDeclaration                50 files ( 46.7%) -           535 total ( 0.52%)
   BinaryExpression                   49 files ( 45.8%) -         1,172 total ( 1.15%)
   IfStatement                        44 files ( 41.1%) -         1,032 total ( 1.01%)
   TSTypeParameterInstantiation       42 files ( 39.3%) -         1,281 total ( 1.26%)
   NewExpression                      41 files ( 38.3%) -           200 total ( 0.20%)
   UnaryExpression                    40 files ( 37.4%) -           449 total ( 0.44%)
   TSFunctionType                     39 files ( 36.4%) -           359 total ( 0.35%)
   UpdateExpression                   38 files ( 35.5%) -           223 total ( 0.22%)
   LogicalExpression                  36 files ( 33.6%) -           541 total ( 0.53%)
   TSPropertySignature                35 files ( 32.7%) -           613 total ( 0.60%)
   TSTypeLiteral                      34 files ( 31.8%) -           299 total ( 0.29%)
   TSStringKeyword                    32 files ( 29.9%) -           414 total ( 0.41%)
   TSUnionType                        32 files ( 29.9%) -           497 total ( 0.49%)
   ArrayPattern                       32 files ( 29.9%) -           322 total ( 0.32%)
   TSAsExpression                     31 files ( 29.0%) -           290 total ( 0.28%)
   FunctionExpression                 30 files ( 28.0%) -           210 total ( 0.21%)
   TSVoidKeyword                      30 files ( 28.0%) -           209 total ( 0.21%)
   TSAnyKeyword                       30 files ( 28.0%) -           297 total ( 0.29%)
   ConditionalExpression              30 files ( 28.0%) -           224 total ( 0.22%)
   ExportNamedDeclaration             28 files ( 26.2%) -           342 total ( 0.34%)
   TSNonNullExpression                28 files ( 26.2%) -           228 total ( 0.22%)
   TSTypeAliasDeclaration             27 files ( 25.2%) -           164 total ( 0.16%)
   TSNumberKeyword                    27 files ( 25.2%) -           580 total ( 0.57%)
   TSArrayType                        25 files ( 23.4%) -           157 total ( 0.15%)
   ForStatement                       25 files ( 23.4%) -           149 total ( 0.15%)
   TSTypeParameterDeclaration         24 files ( 22.4%) -           265 total ( 0.26%)
   TSTypeParameter                    24 files ( 22.4%) -           415 total ( 0.41%)
   TSUndefinedKeyword                 23 files ( 21.5%) -           219 total ( 0.21%)
   TSBooleanKeyword                   21 files ( 19.6%) -           189 total ( 0.19%)
   SpreadElement                      21 files ( 19.6%) -            69 total ( 0.07%)
   ThisExpression                     21 files ( 19.6%) -           381 total ( 0.37%)
   ThrowStatement                     20 files ( 18.7%) -            58 total ( 0.06%)
   TemplateLiteral                    19 files ( 17.8%) -            66 total ( 0.06%)
   TemplateElement                    19 files ( 17.8%) -           140 total ( 0.14%)
   TSParenthesizedType                17 files ( 15.9%) -            96 total ( 0.09%)
   ObjectPattern                      16 files ( 15.0%) -            32 total ( 0.03%)
   AssignmentPattern                  16 files ( 15.0%) -            47 total ( 0.05%)
   TryStatement                       16 files ( 15.0%) -            49 total ( 0.05%)
   TSTypeOperator                     15 files ( 14.0%) -            86 total ( 0.08%)
   TSQualifiedName                    15 files ( 14.0%) -            85 total ( 0.08%)
   TSIntersectionType                 14 files ( 13.1%) -            63 total ( 0.06%)
   WhileStatement                     13 files ( 12.1%) -            25 total ( 0.02%)
   TSLiteralType                      13 files ( 12.1%) -           170 total ( 0.17%)
   TSNullKeyword                      13 files ( 12.1%) -            72 total ( 0.07%)
   RestElement                        13 files ( 12.1%) -            27 total ( 0.03%)
   TSTypeQuery                        12 files ( 11.2%) -            59 total ( 0.06%)
   ForOfStatement                     12 files ( 11.2%) -            36 total ( 0.04%)
   TSTupleType                        12 files ( 11.2%) -            86 total ( 0.08%)
   TSInterfaceDeclaration             12 files ( 11.2%) -            40 total ( 0.04%)
   TSInterfaceBody                    12 files ( 11.2%) -            40 total ( 0.04%)
   TSUnknownKeyword                   12 files ( 11.2%) -            75 total ( 0.07%)
   ExportAllDeclaration               11 files ( 10.3%) -            18 total ( 0.02%)
   ExportSpecifier                    11 files ( 10.3%) -           178 total ( 0.17%)
   TSIndexedAccessType                11 files ( 10.3%) -           233 total ( 0.23%)
   ExportDefaultDeclaration           10 files (  9.3%) -            10 total ( 0.01%)
   JSXElement                         10 files (  9.3%) -           297 total ( 0.29%)
   JSXOpeningElement                  10 files (  9.3%) -           297 total ( 0.29%)
   JSXIdentifier                      10 files (  9.3%) -           704 total ( 0.69%)
   JSXAttribute                       10 files (  9.3%) -           178 total ( 0.17%)
   JSXExpressionContainer             10 files (  9.3%) -           224 total ( 0.22%)
   JSXText                            10 files (  9.3%) -           370 total ( 0.36%)
   JSXClosingElement                  10 files (  9.3%) -           216 total ( 0.21%)
   AwaitExpression                     9 files (  8.4%) -            59 total ( 0.06%)
   ClassBody                           9 files (  8.4%) -            17 total ( 0.02%)
   TSNeverKeyword                      9 files (  8.4%) -            30 total ( 0.03%)
   SequenceExpression                  9 files (  8.4%) -            23 total ( 0.02%)
   TSConditionalType                   9 files (  8.4%) -            62 total ( 0.06%)
   ImportDefaultSpecifier              8 files (  7.5%) -            25 total ( 0.02%)
   TSDeclareFunction                   8 files (  7.5%) -            43 total ( 0.04%)
   ClassDeclaration                    8 files (  7.5%) -            16 total ( 0.02%)
   EmptyStatement                      8 files (  7.5%) -             9 total ( 0.01%)
   MethodDefinition                    7 files (  6.5%) -            46 total ( 0.05%)
   ContinueStatement                   7 files (  6.5%) -            13 total ( 0.01%)
   TSObjectKeyword                     6 files (  5.6%) -            14 total ( 0.01%)
   CatchClause                         6 files (  5.6%) -            20 total ( 0.02%)
   JSXFragment                         6 files (  5.6%) -            19 total ( 0.02%)
   JSXOpeningFragment                  6 files (  5.6%) -            19 total ( 0.02%)
   JSXClosingFragment                  6 files (  5.6%) -            19 total ( 0.02%)
   TSSymbolKeyword                     6 files (  5.6%) -            14 total ( 0.01%)
   PropertyDefinition                  5 files (  4.7%) -            12 total ( 0.01%)
   TSMappedType                        5 files (  4.7%) -            19 total ( 0.02%)
